"","CBCD","n_mixture","lambda_1","alpha_1","beta_1","lambda_2","alpha_2","beta_2","lambda_3","alpha_3","beta_3","lambda_4","alpha_4","beta_4","lambda_5","alpha_5","beta_5","lambda_6","alpha_6","beta_6","lambda_7","alpha_7","beta_7","lambda_8","alpha_8","beta_8","lambda_9","alpha_9","beta_9","lambda_10","alpha_10","beta_10","lambda_11","alpha_11","beta_11","lambda_12","alpha_12","beta_12","lambda_13","alpha_13","beta_13","lambda_14","alpha_14","beta_14","lambda_15","alpha_15","beta_15","lambda_16","alpha_16","beta_16","lambda_17","alpha_17","beta_17","lambda_18","alpha_18","beta_18","lambda_19","alpha_19","beta_19","lambda_20","alpha_20","beta_20"
"1",407,10,0.0432307770015462,54.5527885848939,0.0353119838136639,0.157723504648579,12.9899180926194,0.30631235470373,0.0848724891997858,196.097592004165,0.0339221265536558,0.0656931455413402,138.322319850156,0.0562666786249794,0.110567213041273,69.257001644291,0.157281940051948,0.190357468686296,42.1058455608908,0.397387230041536,0.142977404257208,64.4145684510147,0.42294457272791,0.106468657169214,40.811162696003,1.0585541341355,0.0792442004188331,21.3128818519884,3.78280498506235,0.0188651400359252,7.74810927202803,23.2146042096767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",210,19,0.0876134179859046,9.36451920010139,0.241326395097026,0.0699760464695039,53.1451865062674,0.0903526189355736,0.0810106467641194,212.345509822644,0.0315278028980421,0.0397818679399575,267.393783760087,0.0286730877294187,0.054584978161289,168.869090046257,0.0541036170025309,0.0310953906454869,436.326879128119,0.0252848418653379,0.0632271780518018,281.488686310845,0.0468932585736754,0.0608820070446458,479.174487502548,0.0304162109310269,0.0345659971629393,428.267160209879,0.0395813418908459,0.0879329678206624,347.445022869893,0.0585233498197372,0.0567944964748941,185.811758281943,0.135692288917788,0.0572903996487494,463.246010340209,0.0632187005546,0.106608868738614,81.2557450917064,0.469848434375889,0.0231790926892599,867.051990039388,0.0573813019150106,0.058945410209179,181.289186775707,0.332100351500849,0.0180403336715184,404.320196910454,0.185142506881219,0.0250427878737897,241.237884340417,0.382984526815667,0.03846371060146,9.82442739127452,15.8221496699254,0.00496440204622444,15.8023633804619,22.7230175833284,NA,NA,NA
"3",403,14,0.0438511877285663,37.0421838090476,0.051055713034673,2.84573130913276e-10,35.2958015267175,0.0766081871345031,0.0839859865320279,50.3591694583269,0.0702235531437927,0.0319836304531709,226.737442724397,0.0217739082571354,0.109262644809966,213.478266204087,0.0313743128854418,0.11104599496536,64.3303374946397,0.14077396956922,0.124432584293792,139.190232310481,0.0952308801652541,0.0405911016884642,355.895936842048,0.0464950725603574,0.0864567630838262,240.334776487965,0.0849806014681019,0.0580598131330168,220.161103212542,0.117784377363445,0.14099727930892,36.1169786125963,1.02580008743919,0.0628347959220995,130.506618274955,0.448269317290888,0.0389106344680009,123.33382360813,0.640022502380198,0.0675875833282166,5.05299121162627,28.6260751976952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",207,18,0.0136931654674621,8.57647058823529,0.143097643097643,0.0751783848811023,14.8111049441595,0.195922578521647,0.0684457997080955,38.1299367986406,0.137839648864943,0.0749715728214922,254.235269975924,0.0287236395690808,0.0872195643302513,67.473493861943,0.15181486292805,0.0567702487096697,706.928559470471,0.0192683736622082,0.0738496147489485,164.326500589345,0.0985189097236664,0.0754373089927032,360.727331396918,0.0576911488274146,0.0330830880556538,523.743756350071,0.0472712323924384,0.029478324913827,2881.3601098709,0.0095329411145838,0.0461253131872562,934.904332147584,0.0308114820041624,0.0682466750325172,366.472658393942,0.0920233171777672,0.0597276083168771,306.752841366833,0.13458782768563,0.0273189620258815,1178.09959138061,0.0413383336824144,0.017992000823592,1498.48813522174,0.0360263661991145,0.0775862178068788,84.4274049343838,0.777177186736858,0.080601532905349,26.2553513077338,4.01333011154618,0.0342746172724424,6.07249735776479,41.3351900037044,NA,NA,NA,NA,NA,NA
"5",111,17,0.0749035705559806,9.93269416585779,0.237082516221629,0.0483582040742003,81.3471806893016,0.0539426856870301,0.11098173584002,82.3238704542384,0.0781977873507293,0.103580988097797,44.3708620974102,0.212367665816708,0.0905410514527718,269.862168041805,0.0505612836529834,0.0684974143824309,142.706410299816,0.119589294306973,0.0410366940553443,1951.10320225072,0.0105926749220355,0.0159629309784787,1751.53541690339,0.0124518725815387,0.095720164317452,198.38544793155,0.131627550306765,0.0612774150660273,232.553967377022,0.135741782873167,0.0351003247792991,712.715396164688,0.0509252840805449,0.0683413824328057,177.990274260399,0.248603484877821,0.0806382520367322,75.9209944767437,0.806944791979208,0.00348856658907983,47734.2889276648,0.00161005173688062,0.00113807418377289,23793.424513347,0.00328788984058496,0.0832681158474296,16.9605106830959,6.58937055557811,0.0171651153103772,9.59542089365813,27.1321251032412,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",310,12,0.100042974879617,12.4618197218838,0.201528694038747,0.113462508535475,39.6492661417025,0.125346642441129,0.0914524273420104,441.731112486465,0.0155682686638342,0.0554281095995644,152.63193154611,0.053333589653042,0.109791698502813,68.1608246229875,0.167171654482689,0.0480558396100047,1190.07705509954,0.0119508936129686,0.0588189522594452,234.319841797422,0.0703997329734916,0.0587219368542386,424.42993759247,0.0477824174622933,0.0978935000644284,100.05715928422,0.261785156210951,0.100365939737925,79.7767122616907,0.469410260020951,0.0782298900034877,55.8285300367881,1.01781422691696,0.0877362226109908,7.70711815656127,13.5242480425112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",205,20,0.0405584842589871,13.2396708683473,0.127428890128277,0.0705138604067244,16.5903087033132,0.217520957682823,0.0310947139742203,134.571043221526,0.039432508674736,0.0553662995096032,169.303605906877,0.0380754904476345,0.0743094970824898,99.0167795644715,0.0784067046144602,0.0159502481864476,363.060521759416,0.0260939530539322,0.0191051875218447,469.401023232111,0.0220716713503115,0.0409398890731776,240.92055900985,0.0503140540640081,0.107992913317786,135.335324661004,0.110613995999224,0.0497406844570693,357.690695247261,0.0545891138880472,0.0262214352162778,5568.99093814982,0.00378756527006926,0.0410365033247862,492.233615737813,0.0470415639676469,0.0708201998193578,744.895479877857,0.0368064417027878,0.0120998290221789,2726.39176545632,0.01087698213648,0.00623454512813822,32671.0099449449,0.000949958729877381,0.0870084810175707,147.919516557255,0.246072820205918,0.10517734938881,56.2562760812047,0.905329972041719,0.0585560291997071,97.9008386010798,0.767712482257139,0.0599509642449175,35.1667812790869,3.11732069022041,0.0273228858499055,8.92320937274226,26.6178784553982
"8",312,14,0.107780791843643,16.709959348656,0.142840003350614,0.092953114495344,55.8552926374894,0.0811442308481401,0.107399848354577,184.493614296029,0.0358271135585588,0.0716360720721887,135.087587646225,0.0580593519385301,0.0548736055641065,196.779275413135,0.0499495743029343,0.035955170957027,627.694233895471,0.0186025582469913,0.0609514779576072,659.545548824656,0.0205779347820647,0.123550571216869,59.0812457909927,0.296725283125283,0.0439431600440863,275.013659501214,0.0833712559033472,0.13506123148913,65.9704661288552,0.47846051688087,0.00325726705786077,6902.25060631175,0.00587972469388781,0.0559549748768838,89.7095686134172,0.539931062454249,0.094774679702036,15.668851833475,5.37444813166852,0.0119080343686412,7.24905595135317,29.1696986748055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",110,3,0.208353941787934,2.86462318778174,2.07586336572094,0.61495616672043,1.97360217475266,12.5246880379328,0.176689891491636,1.36793944440253,57.5936911001502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",502,18,0.0328022903780596,15.7508771929824,0.110486528396977,0.0771151245091806,32.0383065824767,0.0832156330141735,0.0478142405725795,133.969935311607,0.0288958665317441,3.24230884509183e-12,94.3732913385832,0.0491279213705681,0.0393552700632561,691.562858129059,0.00728862240256384,0.0835339315051398,180.206980945523,0.0365785828148581,0.0691203406445166,122.494229269851,0.0641981828309886,0.0897853561379381,71.6459695554404,0.153879300095179,0.0224295680466769,788.705979441189,0.0172322084371198,0.0307653758914204,1196.32773654094,0.0118855533142866,0.0606090688399857,157.768967126722,0.105506659483669,0.0305449021833596,1000.6010862228,0.0199704521766844,0.106162503347373,90.010689037956,0.272326524249872,0.084091816717369,110.91515598401,0.302798050908121,0.0596995152340776,136.041745615818,0.334079027170071,0.0609586749738324,187.173582564452,0.327478317267159,0.0381071883080445,152.998801547241,0.542148333376835,0.0671048326439481,3.61247201438021,42.6297159676129,NA,NA,NA,NA,NA,NA
