,CBCD,dual_elig,white,male,agecat,grand_total,count_over_CB_total,CB_total_over_grand_total,year
1,101,0,1,0,1,264378,0.211318483,0.006282671,2008
2,101,1,0,0,1,264378,0.198675497,0.006282671,2008
3,101,0,1,1,1,264378,0.10295003,0.006282671,2008
4,101,1,0,1,1,264378,0.083684527,0.006282671,2008
5,101,0,0,0,1,264378,0.071643588,0.006282671,2008
6,101,0,1,0,0,264378,0.052980132,0.006282671,2008
7,101,0,1,1,0,264378,0.052378085,0.006282671,2008
8,101,1,0,0,0,264378,0.045153522,0.006282671,2008
9,101,0,0,1,1,264378,0.034918724,0.006282671,2008
10,101,1,1,0,1,264378,0.033112583,0.006282671,2008
11,101,0,0,0,0,264378,0.027092113,0.006282671,2008
12,101,1,0,1,0,264378,0.024081878,0.006282671,2008
13,101,0,0,1,0,264378,0.021071644,0.006282671,2008
14,101,1,1,1,1,264378,0.018663456,0.006282671,2008
15,101,1,1,1,0,264378,0.012642986,0.006282671,2008
16,101,1,1,0,0,264378,0.009632751,0.006282671,2008
17,102,0,1,0,1,264378,0.273356401,0.01202445,2008
18,102,0,1,1,1,264378,0.214532872,0.01202445,2008
19,102,0,1,0,0,264378,0.120163573,0.01202445,2008
20,102,0,1,1,0,264378,0.117647059,0.01202445,2008
21,102,1,0,0,1,264378,0.076124567,0.01202445,2008
22,102,1,0,1,1,264378,0.033029254,0.01202445,2008
23,102,1,1,0,1,264378,0.027996225,0.01202445,2008
24,102,1,0,0,0,264378,0.023592325,0.01202445,2008
25,102,0,0,0,1,264378,0.021390374,0.01202445,2008
26,102,0,0,1,0,264378,0.017615602,0.01202445,2008
27,102,0,0,1,1,264378,0.015413652,0.01202445,2008
28,102,1,0,1,0,264378,0.015099088,0.01202445,2008
29,102,0,0,0,0,264378,0.013526266,0.01202445,2008
30,102,1,1,1,0,264378,0.011953444,0.01202445,2008
31,102,1,1,1,1,264378,0.010695187,0.01202445,2008
32,102,1,1,0,0,264378,0.007864108,0.01202445,2008
33,103,1,0,0,1,264378,0.280642693,0.024718396,2008
34,103,1,0,0,0,264378,0.127926549,0.024718396,2008
35,103,1,0,1,1,264378,0.11675593,0.024718396,2008
36,103,0,1,0,1,264378,0.097781178,0.024718396,2008
37,103,1,0,1,0,264378,0.06855394,0.024718396,2008
38,103,0,1,1,1,264378,0.050497322,0.024718396,2008
39,103,0,0,0,1,264378,0.04407039,0.024718396,2008
40,103,1,1,0,1,264378,0.039020658,0.024718396,2008
41,103,0,0,0,0,264378,0.030910482,0.024718396,2008
42,103,0,1,0,0,264378,0.030451415,0.024718396,2008
43,103,0,0,1,1,264378,0.026778883,0.024718396,2008
44,103,0,1,1,0,264378,0.025401683,0.024718396,2008
45,103,0,0,1,0,264378,0.02096404,0.024718396,2008
46,103,1,1,0,0,264378,0.015761285,0.024718396,2008
47,103,1,1,1,1,264378,0.01469013,0.024718396,2008
48,103,1,1,1,0,264378,0.00979342,0.024718396,2008
49,104,0,1,0,1,264378,0.249918434,0.011593249,2008
50,104,0,1,1,1,264378,0.128548124,0.011593249,2008
51,104,0,1,0,0,264378,0.090701468,0.011593249,2008
52,104,0,1,1,0,264378,0.089722675,0.011593249,2008
53,104,1,0,0,1,264378,0.088743883,0.011593249,2008
54,104,1,0,0,0,264378,0.055138662,0.011593249,2008
55,104,0,0,0,1,264378,0.04045677,0.011593249,2008
56,104,1,1,0,1,264378,0.037520392,0.011593249,2008
57,104,0,0,0,0,264378,0.032300163,0.011593249,2008
58,104,1,0,1,0,264378,0.03132137,0.011593249,2008
59,104,1,1,0,0,264378,0.030995106,0.011593249,2008
60,104,1,0,1,1,264378,0.030016313,0.011593249,2008
61,104,0,0,1,0,264378,0.027079935,0.011593249,2008
62,104,1,1,1,0,264378,0.02675367,0.011593249,2008
63,104,1,1,1,1,264378,0.020554649,0.011593249,2008
64,104,0,0,1,1,264378,0.020228385,0.011593249,2008
65,105,0,1,0,1,264378,0.276982379,0.006868953,2008
66,105,0,1,1,1,264378,0.211453744,0.006868953,2008
67,105,0,1,1,0,264378,0.116189427,0.006868953,2008
68,105,0,1,0,0,264378,0.11123348,0.006868953,2008
69,105,1,0,0,1,264378,0.04185022,0.006868953,2008
70,105,1,1,0,1,264378,0.041299559,0.006868953,2008
71,105,1,0,0,0,264378,0.026431718,0.006868953,2008
72,105,1,1,1,1,264378,0.025881057,0.006868953,2008
73,105,1,0,1,1,264378,0.023127753,0.006868953,2008
74,105,0,0,0,0,264378,0.021475771,0.006868953,2008
75,105,1,1,1,0,264378,0.019273128,0.006868953,2008
76,105,0,0,0,1,264378,0.018171806,0.006868953,2008
77,105,0,0,1,1,264378,0.017621145,0.006868953,2008
78,105,1,0,1,0,264378,0.017621145,0.006868953,2008
79,105,1,1,0,0,264378,0.017621145,0.006868953,2008
80,105,0,0,1,0,264378,0.01376652,0.006868953,2008
81,106,0,1,0,1,264378,0.341817637,0.02526307,2008
82,106,0,1,1,1,264378,0.216649199,0.02526307,2008
83,106,0,1,0,0,264378,0.15107052,0.02526307,2008
84,106,0,1,1,0,264378,0.113939212,0.02526307,2008
85,106,0,0,0,0,264378,0.027249588,0.02526307,2008
86,106,1,1,0,1,264378,0.023955682,0.02526307,2008
87,106,0,0,0,1,264378,0.023805959,0.02526307,2008
88,106,1,0,0,1,264378,0.019763438,0.02526307,2008
89,106,0,0,1,1,264378,0.016768977,0.02526307,2008
90,106,0,0,1,0,264378,0.014073963,0.02526307,2008
91,106,1,0,0,0,264378,0.01392424,0.02526307,2008
92,106,1,0,1,1,264378,0.009731996,0.02526307,2008
93,106,1,1,1,1,264378,0.007785597,0.02526307,2008
94,106,1,1,0,0,264378,0.007036982,0.02526307,2008
95,106,1,0,1,0,264378,0.00643809,0.02526307,2008
96,106,1,1,1,0,264378,0.00598892,0.02526307,2008
97,107,0,1,0,1,264378,0.261166187,0.035483285,2008
98,107,0,1,1,1,264378,0.172263085,0.035483285,2008
99,107,0,1,0,0,264378,0.112567957,0.035483285,2008
100,107,0,1,1,0,264378,0.103187293,0.035483285,2008
101,107,1,0,0,1,264378,0.08357318,0.035483285,2008
102,107,0,0,0,1,264378,0.04658352,0.035483285,2008
103,107,1,0,0,0,264378,0.041999787,0.035483285,2008
104,107,0,0,0,0,264378,0.034004904,0.035483285,2008
105,107,1,1,0,1,264378,0.031766336,0.035483285,2008
106,107,0,0,1,0,264378,0.021426287,0.035483285,2008
107,107,1,0,1,1,264378,0.021426287,0.035483285,2008
108,107,0,0,1,1,264378,0.020680098,0.035483285,2008
109,107,1,0,1,0,264378,0.017588743,0.035483285,2008
110,107,1,1,1,1,264378,0.012152223,0.035483285,2008
111,107,1,1,0,0,264378,0.010446647,0.035483285,2008
112,107,1,1,1,0,264378,0.009167466,0.035483285,2008
113,108,0,1,0,1,264378,0.329631636,0.04189456,2008
114,108,0,1,1,1,264378,0.229414951,0.04189456,2008
115,108,0,1,0,0,264378,0.157006139,0.04189456,2008
116,108,0,1,1,0,264378,0.124684001,0.04189456,2008
117,108,1,1,0,1,264378,0.034037559,0.04189456,2008
118,108,1,0,0,1,264378,0.024196461,0.04189456,2008
119,108,0,0,0,1,264378,0.019772481,0.04189456,2008
120,108,0,0,0,0,264378,0.014174792,0.04189456,2008
121,108,0,0,1,1,264378,0.011195377,0.04189456,2008
122,108,1,1,1,1,264378,0.010202239,0.04189456,2008
123,108,1,0,0,0,264378,0.009660527,0.04189456,2008
124,108,0,0,1,0,264378,0.008396533,0.04189456,2008
125,108,1,0,1,1,264378,0.008125677,0.04189456,2008
126,108,1,1,0,0,264378,0.008035392,0.04189456,2008
127,108,1,1,1,0,264378,0.006319971,0.04189456,2008
128,108,1,0,1,0,264378,0.005146262,0.04189456,2008
129,109,1,0,0,1,264378,0.224579664,0.009448593,2008
130,109,1,0,0,0,264378,0.14011209,0.009448593,2008
131,109,0,0,0,1,264378,0.122097678,0.009448593,2008
132,109,0,1,0,1,264378,0.09407526,0.009448593,2008
133,109,0,0,0,0,264378,0.081665332,0.009448593,2008
134,109,0,0,1,1,264378,0.057245797,0.009448593,2008
135,109,0,1,1,1,264378,0.057245797,0.009448593,2008
136,109,1,0,1,0,264378,0.053242594,0.009448593,2008
137,109,1,0,1,1,264378,0.051641313,0.009448593,2008
138,109,0,0,1,0,264378,0.041232986,0.009448593,2008
139,109,0,1,0,0,264378,0.028823058,0.009448593,2008
140,109,0,1,1,0,264378,0.020416333,0.009448593,2008
141,109,1,1,0,1,264378,0.01561249,0.009448593,2008
142,109,1,1,0,0,264378,0.006405124,0.009448593,2008
143,109,1,1,1,1,264378,0.003202562,0.009448593,2008
144,109,1,1,1,0,264378,0.002401922,0.009448593,2008
145,110,1,0,0,1,264378,0.231890092,0.009085476,2008
146,110,0,0,0,1,264378,0.185678601,0.009085476,2008
147,110,0,0,0,0,264378,0.163197336,0.009085476,2008
148,110,1,0,0,0,264378,0.130308077,0.009085476,2008
149,110,1,0,1,1,264378,0.069941715,0.009085476,2008
150,110,0,0,1,1,264378,0.069109076,0.009085476,2008
151,110,1,0,1,0,264378,0.064113239,0.009085476,2008
152,110,0,0,1,0,264378,0.061615321,0.009085476,2008
153,110,0,1,0,0,264378,0.004579517,0.009085476,2008
154,110,1,1,0,1,264378,0.004579517,0.009085476,2008
155,110,0,1,0,1,264378,0.004163197,0.009085476,2008
156,110,0,1,1,0,264378,0.003746878,0.009085476,2008
157,110,1,1,1,0,264378,0.002497918,0.009085476,2008
158,110,1,1,0,0,264378,0.002081599,0.009085476,2008
159,110,0,1,1,1,264378,0.001248959,0.009085476,2008
160,110,1,1,1,1,264378,0.001248959,0.009085476,2008
161,111,1,0,0,1,264378,0.283509834,0.01250104,2008
