type,ER_hosp_prob,EM_hosp_prob
0,0.0044884488448844895,0.00143738298956194
8,0.00578065058594776,0.0019552329855625603
4,0.007936507936507941,0.00146664234521554
12,0.0106898279605813,0.0014038945220431198
2,0.00615676059673218,0.0020356037578679697
10,0.0111463099847472,0.00266302879209198
6,0.0107904946653734,0.00191780872053977
14,0.0148548278190412,0.00206165651936425
1,0.0049321824907521605,0.0019222903885480602
9,0.00653450344087379,0.0026137152214994602
5,0.008453659138590641,0.00196787727981057
13,0.011184703824043999,0.0022469480243255
3,0.00900712191034772,0.0025599722308097
11,0.0101244463193419,0.00274091798999347
7,0.00992555831265509,0.00265936729521694
15,0.0111330326944758,0.00255743985299335
