"","shift","scale","shape","state","bucket"
"1",-29.81,324.743642745746,0.988688888384319,1,"0000"
"2",0,267.194874436082,1.08953256982629,1,"0001"
"3",0,278.357135080194,1.22928711380495,1,"0010"
"4",0,228.872452468356,1.4470746595373,1,"0011"
"5",0,371.990027818819,0.762484106243905,1,"0100"
"6",0,360.872332363633,0.784144285035259,1,"0101"
"7",-78.68,334.367787756896,1.23868414520171,1,"0110"
"8",0,223.580848277216,1.40002690400677,1,"0111"
"9",-5.4,234.853845836009,1.37263810170681,1,"1000"
"10",0,222.053982022959,1.47193688486758,1,"1001"
"11",0,272.295047741647,1.35785296847328,1,"1010"
"12",0,250.912331791187,1.50178883947502,1,"1011"
"13",0,290.910221528378,1.07405763562798,1,"1100"
"14",0,246.060175328758,1.27674834837343,1,"1101"
"15",-0.57,333.994039383245,1.07160075944274,1,"1110"
"16",0,306.693950229966,1.16726389212901,1,"1111"
"17",0,4030.15276015898,1.47518273198315,2,"0000"
"18",0,5147.12622879783,1.04659196738985,2,"0001"
"19",0,4800.34914793554,1.31550898212855,2,"0010"
"20",0,6456.51215254942,0.820991394135052,2,"0011"
"21",0,24326.1500883171,0.302364369737126,2,"0100"
"22",0,11224.1041748468,0.50921894435073,2,"0101"
"23",0,25562.9988619456,0.320540065903351,2,"0110"
"24",0,6739.69269238757,0.843541548439669,2,"0111"
"25",0,4074.69625017942,1.37047980140357,2,"1000"
"26",0,2759.42629257331,1.81528496605866,2,"1001"
"27",0,4547.91026034392,1.30081867544918,2,"1010"
"28",0,2638.41834471923,1.98181988722822,2,"1011"
"29",0,11111.2271354438,0.555178020613216,2,"1100"
"30",0,5394.90190649813,0.978661919301041,2,"1101"
"31",0,11685.7219077258,0.584797600761265,2,"1110"
"32",0,9922.28429294505,0.591570234065441,2,"1111"
"33",2071.42857142857,5485.5844533525,0.889964124090707,3,"0000"
"34",0,1759.26526906695,3.20555028579235,3,"0001"
"35",2503.8,9594.75705000097,0.582656869652492,3,"0010"
"36",0,1732.00286501974,3.43409901551955,3,"0011"
"37",581.142857142857,2069.43892684614,2.80309558434893,3,"0100"
"38",0,2956.58732335089,2.05042276452054,3,"0101"
"39",0,3865.62568273772,2.23612497216493,3,"0110"
"40",0,19633.3617856062,0.389490700975473,3,"0111"
"41",645,2340.11066746627,2.40492465574058,3,"1000"
"42",0,1887.30931690524,2.89537113374732,3,"1001"
"43",0,2295.06062776559,3.38805725590127,3,"1010"
"44",0,1681.2776251496,3.8676458593674,3,"1011"
"45",0,3836.92246572474,1.69302364772602,3,"1100"
"46",1542.42857142857,2981.66016229865,1.36548085979602,3,"1101"
"47",0,2214.59433154616,3.67507738456993,3,"1110"
"48",0,1567.05850262972,4.29323829680674,3,"1111"
"49",0,7648.51803654753,1.13738228186671,4,"0000"
"50",0,7066.94535418708,1.05437622730296,4,"0001"
"51",0,8894.75083895068,1.10376632733787,4,"0010"
"52",0,9331.22631179142,0.844001734716584,4,"0011"
"53",0,11456.15680119,0.857436414924041,4,"0100"
"54",0,9565.19703749782,0.811624382795875,4,"0101"
"55",0,14620.9745282514,0.826063906674229,4,"0110"
"56",0,15963.164265117,0.612838778380826,4,"0111"
"57",0,7098.63075412382,1.05090593557402,4,"1000"
"58",0,5716.75881986709,1.13208820261975,4,"1001"
"59",0,6720.84554573416,1.1999124437151,4,"1010"
