type,CD,ratio_CD_within_type
0,101,0.004237662976985206
0,102,0.00378659547603866
0,103,0.017273511423701128
0,104,0.009109988643467707
0,105,0.0035518011017126533
0,106,0.016378623722542483
0,107,0.028775879350822653
0,108,0.014145586734302754
0,109,0.018041500369982946
0,110,0.03465529042659453
0,111,0.027480091931644513
0,112,0.02165490897499099
0,201,0.007956444838588627
0,202,0.0032186752868068325
0,203,0.008506791650713524
0,204,0.01686200436181484
0,205,0.008739249788199652
0,206,0.00474381076240491
0,207,0.009522003020365433
0,208,0.012971973220886716
0,209,0.0369645020616546
0,210,0.03504561257827942
0,211,0.011090665486519232
0,212,0.03258952954344208
0,301,0.011329976294172841
0,302,0.022756335510501064
0,303,0.026783118442242765
0,304,0.008188685338480333
0,305,0.02709540069877071
0,306,0.00974577111071681
0,307,0.0077419361977345055
0,308,0.01777047846410766
0,309,0.02484406910927004
0,310,0.0056539518432697465
0,311,0.0043560237277082275
0,312,0.005585966041024695
0,313,0.007247925023091113
0,314,0.01881409161743298
0,315,0.005615788156515363
0,316,0.015145131037349192
0,317,0.05142503930891998
0,318,0.03211879900298401
0,401,0.01181153378114626
0,402,0.00822843537436967
0,403,0.019245739757201053
0,404,0.016856128436575805
0,405,0.005725355959971786
0,406,0.012557268891171007
0,407,0.022322645551916504
0,408,0.022107511189155906
0,409,0.007217440988048128
0,410,0.010235705521589394
0,411,0.010771397928512194
0,412,0.0635018141659143
0,413,0.06179736188419597
0,414,0.011038239485699491
0,501,0.013731332867760227
0,502,0.007618650735985993
0,503,0.005712246824032314
1,101,0.009616256750832178
1,102,0.0056101906276188485
1,103,0.024695155460948782
1,104,0.010171266154510776
1,105,0.0029307987309845343
1,106,0.013850799035337922
1,107,0.036503915152230795
1,108,0.018592089481116892
1,109,0.02600389547440792
1,110,0.037655590279058467
1,111,0.031222717060536
1,112,0.03295997263091956
1,201,0.008076893619853809
1,202,0.003494074912856476
1,203,0.006043013615983393
1,204,0.016824310293367586
1,205,0.00610222838055704
1,206,0.003689140780267156
1,207,0.008946012544135634
1,208,0.014159300290347046
1,209,0.03578893596294085
1,210,0.033077492827392994
1,211,0.011953118608465622
1,212,0.038372570504710254
1,301,0.011077027451879816
