type,attr_name,attr_var,attr_order,value1,prob1,value2,prob2,value3,prob3,value4,prob4,value5,prob5
0,want-find-way-to,wb1agrwstmt2,0,1.0,0.022151898734177215,2.0,0.08227848101265822,3.0,0.8955696202531646,,,,
0,feel-cheerful,wb1offelche1,1,1.0,0.00946372239747634,2.0,0.028391167192429023,3.0,0.23659305993690852,4.0,0.48264984227129337,5.0,0.24290220820189273
0,feel-bored,wb1offelche2,2,1.0,0.3490566037735849,2.0,0.27044025157232704,3.0,0.24842767295597484,4.0,0.09119496855345911,5.0,0.040880503144654086
0,feel-full-of-life,wb1offelche3,3,1.0,0.03785488958990536,2.0,0.10410094637223975,3.0,0.22397476340694006,4.0,0.3659305993690852,5.0,0.26813880126182965
0,feel-upset,wb1offelche4,4,1.0,0.20754716981132076,2.0,0.4591194968553459,3.0,0.25471698113207547,4.0,0.059748427672955975,5.0,0.018867924528301886
0,adjust-to-change,wb1agrwstmt3,5,1.0,0.12779552715654952,2.0,0.30990415335463256,3.0,0.5623003194888179,,,,
0,self-determin,wb1agrwstmt1,6,1.0,0.657051282051282,2.0,0.23397435897435898,3.0,0.10897435897435898,,,,
0,know-each-other,cm1knowwell,7,1.0,0.2064516129032258,2.0,0.42258064516129035,3.0,0.3709677419354839,,,,
0,willing-help-each-other,cm1willnghlp,8,1.0,0.14426229508196722,2.0,0.4163934426229508,3.0,0.43934426229508194,,,,
0,can-be-trusted,cm1peoptrstd,9,1.0,0.1750841750841751,2.0,0.38047138047138046,3.0,0.4444444444444444,,,,
0,no-one-talk-to,fl1noonetalk,10,1.0,0.9278996865203761,2.0,0.07210031347962383,,,,,,
0,income,ia1totinc,11,1.0,0.375,2.0,0.55,3.0,0.075,,,,
0,education,el1higstschl,12,1.0,0.14106583072100312,2.0,0.7210031347962382,3.0,0.13793103448275862,,,,
1,want-find-way-to,wb1agrwstmt2,0,1.0,0.010526315789473684,2.0,0.05263157894736842,3.0,0.9368421052631579,,,,
1,feel-cheerful,wb1offelche1,1,1.0,0.010526315789473684,2.0,0.031578947368421054,3.0,0.19298245614035087,4.0,0.512280701754386,5.0,0.25263157894736843
1,feel-bored,wb1offelche2,2,1.0,0.37543859649122807,2.0,0.3368421052631579,3.0,0.22105263157894736,4.0,0.03508771929824561,5.0,0.031578947368421054
1,feel-full-of-life,wb1offelche3,3,1.0,0.02456140350877193,2.0,0.07017543859649122,3.0,0.20701754385964913,4.0,0.3333333333333333,5.0,0.3649122807017544
1,feel-upset,wb1offelche4,4,1.0,0.18596491228070175,2.0,0.5017543859649123,3.0,0.2631578947368421,4.0,0.031578947368421054,5.0,0.017543859649122806
1,adjust-to-change,wb1agrwstmt3,5,1.0,0.08771929824561403,2.0,0.26666666666666666,3.0,0.6456140350877193,,,,
1,self-determin,wb1agrwstmt1,6,1.0,0.7333333333333333,2.0,0.16140350877192983,3.0,0.10526315789473684,,,,
1,know-each-other,cm1knowwell,7,1.0,0.1827956989247312,2.0,0.45161290322580644,3.0,0.3655913978494624,,,,
1,willing-help-each-other,cm1willnghlp,8,1.0,0.12949640287769784,2.0,0.39928057553956836,3.0,0.4712230215827338,,,,
1,can-be-trusted,cm1peoptrstd,9,1.0,0.1111111111111111,2.0,0.4185185185185185,3.0,0.4703703703703704,,,,
1,no-one-talk-to,fl1noonetalk,10,1.0,0.9192982456140351,2.0,0.08070175438596491,,,,,,
1,income,ia1totinc,11,1.0,0.2483221476510067,2.0,0.5637583892617449,3.0,0.18791946308724833,,,,
