"","ER_hosp_prob","ER_hosp_ACSC_prob","EM_hosp_prob","EM_hosp_ACSC_prob","bucket"
"1",0.00448844884488449,0.411764705882353,0.00143738298956194,0.18058690744921,"0000"
"2",0.00578065058594776,0.181818181818182,0.00195523298556256,0.262,"0001"
"3",0.00793650793650794,0.22972972972973,0.00146664234521554,0.220661985957874,"0010"
"4",0.0106898279605813,0.1875,0.00140389452204312,0.229577464788732,"0011"
"5",0.00615676059673218,0.192307692307692,0.00203560375786797,0.170731707317073,"0100"
"6",0.0111463099847472,0.221052631578947,0.00266302879209198,0.20949263502455,"0101"
"7",0.0107904946653734,0.134831460674157,0.00191780872053977,0.20324427480916,"0110"
"8",0.0148548278190412,0.136363636363636,0.00206165651936425,0.226171243941842,"0111"
"9",0.00493218249075216,0.208333333333333,0.00192229038854806,0.243161094224924,"1000"
"10",0.00653450344087379,0.280193236714976,0.00261371522149946,0.300413412953606,"1001"
"11",0.00845365913859064,0.211678832116788,0.00196787727981057,0.267191760072705,"1010"
"12",0.011184703824044,0.256983240223464,0.0022469480243255,0.289793759915389,"1011"
"13",0.00900712191034772,0.232558139534884,0.0025599722308097,0.235169491525424,"1100"
"14",0.0101244463193419,0.25,0.00274091798999347,0.268707482993197,"1101"
"15",0.00992555831265509,0.205882352941176,0.00265936729521694,0.249659400544959,"1110"
"16",0.0111330326944758,0.253164556962025,0.00255743985299335,0.269446672012831,"1111"
