,CBCD,dual_elig,white,male,agecat,grand_total,count_over_CB_total,CB_total_over_grand_total,year
1,101,1,0,0,1,247241,0.222791293,0.006317722,2010
2,101,0,1,0,1,247241,0.208706786,0.006317722,2010
3,101,0,1,1,1,247241,0.110115237,0.006317722,2010
4,101,1,0,1,1,247241,0.087708067,0.006317722,2010
5,101,0,0,0,1,247241,0.072983355,0.006317722,2010
6,101,1,1,0,1,247241,0.043533931,0.006317722,2010
7,101,0,1,1,0,247241,0.042253521,0.006317722,2010
8,101,0,0,1,1,247241,0.039052497,0.006317722,2010
9,101,0,1,0,0,247241,0.039052497,0.006317722,2010
10,101,1,0,0,0,247241,0.031370038,0.006317722,2010
11,101,0,0,0,0,247241,0.02496799,0.006317722,2010
12,101,1,1,1,1,247241,0.02368758,0.006317722,2010
13,101,1,0,1,0,247241,0.019206146,0.006317722,2010
14,101,0,0,1,0,247241,0.016005122,0.006317722,2010
15,101,1,1,0,0,247241,0.009603073,0.006317722,2010
16,101,1,1,1,0,247241,0.008962868,0.006317722,2010
17,102,0,1,0,1,247241,0.2899729,0.011939767,2010
18,102,0,1,1,1,247241,0.228319783,0.011939767,2010
19,102,0,1,0,0,247241,0.097560976,0.011939767,2010
20,102,0,1,1,0,247241,0.095528455,0.011939767,2010
21,102,1,0,0,1,247241,0.087398374,0.011939767,2010
22,102,1,1,0,1,247241,0.036246612,0.011939767,2010
23,102,1,0,1,1,247241,0.034214092,0.011939767,2010
24,102,0,0,0,1,247241,0.024051491,0.011939767,2010
25,102,0,0,1,1,247241,0.018292683,0.011939767,2010
26,102,1,0,0,0,247241,0.016937669,0.011939767,2010
27,102,1,1,1,1,247241,0.016260163,0.011939767,2010
28,102,0,0,1,0,247241,0.014905149,0.011939767,2010
29,102,1,1,1,0,247241,0.013211382,0.011939767,2010
30,102,1,0,1,0,247241,0.011517615,0.011939767,2010
31,102,0,0,0,0,247241,0.010501355,0.011939767,2010
32,102,1,1,0,0,247241,0.005081301,0.011939767,2010
33,103,1,0,0,1,247241,0.317284152,0.024781489,2010
34,103,1,0,1,1,247241,0.133344214,0.024781489,2010
35,103,1,0,0,0,247241,0.099069692,0.024781489,2010
36,103,0,1,0,1,247241,0.096947935,0.024781489,2010
37,103,1,0,1,0,247241,0.053043904,0.024781489,2010
38,103,0,1,1,1,247241,0.05108536,0.024781489,2010
39,103,0,0,0,1,247241,0.050106088,0.024781489,2010
40,103,1,1,0,1,247241,0.045046515,0.024781489,2010
41,103,0,0,1,1,247241,0.031010282,0.024781489,2010
42,103,0,1,0,0,247241,0.024808226,0.024781489,2010
43,103,0,0,0,0,247241,0.022360046,0.024781489,2010
44,103,0,1,1,0,247241,0.020564714,0.024781489,2010
45,103,1,1,1,1,247241,0.018116533,0.024781489,2010
46,103,0,0,1,0,247241,0.016157989,0.024781489,2010
47,103,1,1,0,0,247241,0.013220173,0.024781489,2010
48,103,1,1,1,0,247241,0.007834177,0.024781489,2010
49,104,0,1,0,1,247241,0.255757153,0.011591929,2010
50,104,0,1,1,1,247241,0.13991626,0.011591929,2010
51,104,1,0,0,1,247241,0.105722261,0.011591929,2010
52,104,0,1,1,0,247241,0.072226099,0.011591929,2010
53,104,0,1,0,0,247241,0.071877181,0.011591929,2010
54,104,1,1,0,1,247241,0.050593161,0.011591929,2010
55,104,1,0,0,0,247241,0.046406141,0.011591929,2010
56,104,0,0,0,1,247241,0.043614794,0.011591929,2010
57,104,1,0,1,1,247241,0.039078856,0.011591929,2010
